year,open_price,high_price,low_price,close_price,no.of_shares,no._of_trades,total_turnover_(rs.),deliverable_quantity,%_deli._qty_to_traded_qty,spread_high-low,spread_close-open,dematflagexist,bank_name,yearly_return_pct,volatility_index,liquidity_ratio,avg_trade_value,bullish_flag,bank
2018,178,182.75,73.3,104.05,207675176,807471,20457350803,25510797,12.28,109.45,-73.95,0,bankofindia,-41.54494382,109.45,98.50648111645276,25335.09042801537,FALSE,BANK_OF_INDIA
2019,104.5,110.05,57.45,70.45,219695439,623505,18193866187,26318495,11.98,52.6,-34.05,0,bankofindia,-32.58373206,52.6,82.814036876751,29179.984421937275,FALSE,BANK_OF_INDIA
2020,70.5,71.7,30.45,48.65,175503874,414626,7643207139,28280108,16.11,41.25,-21.85,0,bankofindia,-30.9929078,41.25,43.5500765014452,18433.979391065684,FALSE,BANK_OF_INDIA
2021,49,101.45,47.95,51.35,200483919,889963,13608065767,62299875,31.07,53.5,2.35,0,bankofindia,4.795918367346942,53.5,67.87609617208251,15290.597212468385,TRUE,BANK_OF_INDIA
2022,52.05,103.5,40.4,88.2,207576434,919930,14159694242,68184442,32.85,63.1,36.15,0,bankofindia,69.45244956772336,63.1,68.21436311021704,15392.143143500049,TRUE,BANK_OF_INDIA
2023,88.65,120.95,66.05,112.6,305584707,1439141,27586807814,96634500,31.62,54.9,23.95,0,bankofindia,27.01635645798081,54.900000000000006,90.27548559228129,19168.940231707664,TRUE,BANK_OF_INDIA
2024,112.85,158,96,101.95,263436805,2108585,33711271710,111036366,42.15,62,-10.9,0,bankofindia,-9.658839167,62,127.96720530375396,15987.627584375305,FALSE,BANK_OF_INDIA
2025,102.7,151.35,90,142.25,119615561,844380,14045510123,59887885,50.07,61.35,39.55,0,bankofindia,38.51022395326192,61.35,117.4220979743597,16634.11038039745,TRUE,BANK_OF_INDIA
2016,32,37.4,25,28.6,7651753,60282,238827185,3482891,45.52,12.4,-3.4,0,bankofmha,-10.625,12.4,31.21208760920537,3961.832470720945,FALSE,BANK_OF_MAHARASHTRA
2017,29,40.7,20.8,22.85,16291342,79158,495414102,7554224,46.37,19.9,-6.15,0,bankofmha,-21.20689655,19.9,30.40965575457197,6258.547487303873,FALSE,BANK_OF_MAHARASHTRA
2018,23.25,24.75,10.73,14.89,32099317,77838,494827340,14285912,44.51,14.02,-8.36,0,bankofmha,-35.95698925,14.02,15.415509931254924,6357.143554562039,FALSE,BANK_OF_MAHARASHTRA
2019,15.33,20,8.67,12.96,29585906,78860,436017126,12609476,42.62,11.33,-2.37,0,bankofmha,-15.45988258,11.33,14.737325468417293,5529.002358610195,FALSE,BANK_OF_MAHARASHTRA
2020,12.87,16,7.71,13.04,79942707,271210,990523611,43483700,54.39,8.29,0.17,0,bankofmha,1.3209013209013205,8.29,12.390418690725596,3652.2385273404375,TRUE,BANK_OF_MAHARASHTRA
2021,13.11,31.95,13.1,19.2,342378981,688597,7697867291,149486635,43.66,18.85,6.09,0,bankofmha,46.453089244851256,18.85,22.483469249533165,11179.060162910962,TRUE,BANK_OF_MAHARASHTRA
2022,19.2,36.25,15,30.5,366918352,688899,9306477343,135803882,37.01,21.25,11.3,0,bankofmha,58.85416666666667,21.25,25.363891700353,13509.204314420547,TRUE,BANK_OF_MAHARASHTRA
2023,30.7,51.9,22.8,45.14,627128839,1247154,23570325353,217543193,34.69,29.1,14.44,0,bankofmha,47.03583061889252,29.1,37.58450239760063,18899.29018629616,TRUE,BANK_OF_MAHARASHTRA
2024,45.15,73.5,45.09,52.2,613739356,1974374,36416466785,193835276,31.58,28.41,7.05,0,bankofmha,15.614617940199349,28.41,59.3353944618145,18444.56358572388,TRUE,BANK_OF_MAHARASHTRA
2025,52.08,61.55,38.11,56.36,278783558,1010354,15109240090,123752415,44.39,23.44,4.28,0,bankofmha,8.218125960061446,23.44,54.19702725079648,14954.402209522605,TRUE,BANK_OF_MAHARASHTRA
2016,32,37.4,25,28.6,7651753,60282,238827185,3482891,45.52,12.4,-3.4,0,bankofmha,-10.625,12.4,31.21208760920537,3961.832470720945,FALSE,BANK_OF_MAHARASHTRA
2017,29,40.7,20.8,22.85,16291342,79158,495414102,7554224,46.37,19.9,-6.15,0,bankofmha,-21.20689655,19.9,30.40965575457197,6258.547487303873,FALSE,BANK_OF_MAHARASHTRA
2018,23.25,24.75,10.73,14.89,32099317,77838,494827340,14285912,44.51,14.02,-8.36,0,bankofmha,-35.95698925,14.02,15.415509931254924,6357.143554562039,FALSE,BANK_OF_MAHARASHTRA
2019,15.33,20,8.67,12.96,29585906,78860,436017126,12609476,42.62,11.33,-2.37,0,bankofmha,-15.45988258,11.33,14.737325468417293,5529.002358610195,FALSE,BANK_OF_MAHARASHTRA
2020,12.87,16,7.71,13.04,79942707,271210,990523611,43483700,54.39,8.29,0.17,0,bankofmha,1.3209013209013205,8.29,12.390418690725596,3652.2385273404375,TRUE,BANK_OF_MAHARASHTRA
2021,13.11,31.95,13.1,19.2,342378981,688597,7697867291,149486635,43.66,18.85,6.09,0,bankofmha,46.453089244851256,18.85,22.483469249533165,11179.060162910962,TRUE,BANK_OF_MAHARASHTRA
2022,19.2,36.25,15,30.5,366918352,688899,9306477343,135803882,37.01,21.25,11.3,0,bankofmha,58.85416666666667,21.25,25.363891700353,13509.204314420547,TRUE,BANK_OF_MAHARASHTRA
2023,30.7,51.9,22.8,45.14,627128839,1247154,23570325353,217543193,34.69,29.1,14.44,0,bankofmha,47.03583061889252,29.1,37.58450239760063,18899.29018629616,TRUE,BANK_OF_MAHARASHTRA
2024,45.15,73.5,45.09,52.2,613739356,1974374,36416466785,193835276,31.58,28.41,7.05,0,bankofmha,15.614617940199349,28.41,59.3353944618145,18444.56358572388,TRUE,BANK_OF_MAHARASHTRA
2025,52.08,61.55,38.11,56.36,278783558,1010354,15109240090,123752415,44.39,23.44,4.28,0,bankofmha,8.218125960061446,23.44,54.19702725079648,14954.402209522605,TRUE,BANK_OF_MAHARASHTRA
2016,1084.9,1318.2,928.8,1204.2,28191280,576769,32402569817,15446011,54.79,389.4,119.3,0,hdfcbank,10.996405198635816,389.4000000000001,1149.3827104338648,56179.45801005255,TRUE,HDFC
2017,1205,1905,1181.75,1873.55,45009684,599601,69091363465,21308487,47.34,723.25,668.55,0,hdfcbank,55.481327800829874,723.25,1535.0332933908178,115228.89965994052,TRUE,HDFC
2018,1873,2219.05,1830,2122.45,31417384,745292,62554741324,17708814,56.37,389.05,249.45,0,hdfcbank,13.318206086492248,389.0500000000002,1991.0868875651768,83933.1984296088,TRUE,HDFC
2019,2123,2502.9,1084.4,1271.8,49179082,1341070,92628888355,23167523,47.11,1418.5,-851.2,0,hdfcbank,-40.09420631,1418.5,1883.5017773410248,69070.88247071368,FALSE,HDFC
2020,1275,1464,738.9,1436.75,177000282,4694608,1.90749E+11,79388778,44.85,725.1,161.75,0,hdfcbank,12.68627450980392,725.1,1077.6783345746308,40631.58609302417,TRUE,HDFC
2021,1438,1724.3,1342,1479.8,75706550,2933549,1.14465E+11,41684361,55.06,382.3,41.8,0,hdfcbank,2.9068150208623056,382.3,1511.953659029503,39019.22050219717,TRUE,HDFC
2022,1479.8,1721.85,1271.75,1627.3,88149147,3632062,1.30075E+11,54589105,61.93,450.1,147.5,0,hdfcbank,9.967563184214082,450.0999999999999,1475.6203357248596,35812.900190029795,TRUE,HDFC
2023,1622.05,1757.8,1460.55,1709.65,91197626,3956535,1.45941E+11,46977985,51.51,297.25,87.6,0,hdfcbank,5.400573348540435,297.25,1600.2673012562848,36885.95673739775,TRUE,HDFC
2024,1709.65,1880,1363.45,1772.45,181263697,6076172,2.8747E+11,85976529,47.43,516.55,62.8,0,hdfcbank,3.6732664580469656,516.55,1585.9221761266406,47311.056500540144,TRUE,HDFC
2025,1775,2036.3,939.05,985.95,131350148,3471159,1.91547E+11,70708526,53.83,1097.25,-789.05,0,hdfcbank,-44.45352113,1097.25,1458.2945382292223,55182.491906593736,FALSE,HDFC
2016,261,298.2,180.8,255.3,377208305,2796917,91485344486,149250300,39.57,117.4,-5.7,0,icicibank,-2.183908046,117.39999999999998,242.5326888971864,32709.35265007864,FALSE,ICICI
2017,255.7,332.3,248.3,314,370420782,1794663,1.07593E+11,209828143,56.65,84,58.3,0,icicibank,22.800156433320304,84,290.46254122426643,59951.84703869194,TRUE,ICICI
2018,312,375.25,256.5,360,340553516,1727045,1.06771E+11,150408918,44.17,118.75,48,0,icicibank,15.384615384615383,118.75,313.5207107067425,61822.69736457359,TRUE,ICICI
2019,362,552.4,336.25,538.75,262811427,2066111,1.07923E+11,121549917,46.25,216.15,176.75,0,icicibank,48.82596685082873,216.15,410.6476779946102,52234.80357444494,TRUE,ICICI
2020,539.2,550.45,269,534.8,405379703,4782406,1.63725E+11,166773914,41.14,281.45,-4.4,0,icicibank,-0.816023739,281.45000000000005,403.87978286372174,34234.790276066065,FALSE,ICICI
2021,534.8,859.7,512.1,740.25,206402008,2991872,1.34865E+11,118510033,57.42,347.6,205.45,0,icicibank,38.41623036649216,347.6,653.4084040209532,45077.06433764546,TRUE,ICICI
2022,743.9,958,642,890.95,150468027,2786234,1.21942E+11,107184580,71.23,316,147.05,0,icicibank,19.767441860465127,316,810.4200764724588,43765.99738141161,TRUE,ICICI
2023,892.3,1042.65,796.1,996.45,89883604,2433689,83562525164,48320424,53.76,246.55,104.15,0,icicibank,11.67208338002915,246.55000000000007,929.674839963026,34335.74510301029,TRUE,ICICI
2024,994.65,1361.35,970.05,1282,140000786,3367373,1.61812E+11,61323199,43.8,391.3,287.35,0,icicibank,28.88955914140653,391.3,1155.7918596542736,48052.82004815029,TRUE,ICICI
2025,1280.35,1494.1,1187,1354.15,102657259,2483230,1.41342E+11,55415017,53.98,307.1,73.8,0,icicibank,5.764048892880867,307.0999999999999,1376.838721156582,56918.80703720557,TRUE,ICICI
2016,115.5,275.9,76,220.7,30762933,389580,6034925164,14902157,48.44,199.9,105.2,0,indianbank,91.08225108225108,199.9,196.1752204836905,15490.849540530828,TRUE,INDIAN_BANK
2017,222.4,428,219,376.65,31935621,461209,10137511208,7619872,23.86,209,154.25,0,indianbank,69.35701438848919,209,317.43585659411474,21980.297886641416,TRUE,INDIAN_BANK
2018,379.25,405.75,211,243.8,29291984,383977,8729707969,4436842,15.15,194.75,-135.45,0,indianbank,-35.71522742,194.75,298.0237859272352,22734.97623295145,FALSE,INDIAN_BANK
2019,244.25,292.35,100.6,100.85,26811654,364891,5619989427,4992953,18.62,191.75,-143.4,0,indianbank,-58.71033777,191.75000000000003,209.6099489796489,15401.83075767832,FALSE,INDIAN_BANK
2020,101.05,110.25,41.7,85.55,45293504,429451,3068009468,16681331,36.83,68.55,-15.5,0,indianbank,-15.33894112,68.55,67.73619166227458,7144.026834260486,FALSE,INDIAN_BANK
2021,86.1,194.8,85.1,139.5,76355519,887664,10574152604,26362506,34.53,109.7,53.4,0,indianbank,62.02090592334496,109.70000000000002,138.48576687691693,11912.336879720257,TRUE,INDIAN_BANK
2022,139,306,130.15,284.75,38666177,666122,7254931193,13930080,36.03,175.85,145.75,0,indianbank,104.85611510791368,175.85,187.62990695977004,10891.294977496616,TRUE,INDIAN_BANK
2023,287.9,462.75,253.35,420.8,24086846,495590,8422165436,9422347,39.12,209.4,132.9,0,indianbank,46.161861757554725,209.4,349.6582921649435,16994.219891442524,TRUE,INDIAN_BANK
2024,422.5,626.35,408.95,530.95,23521886,774957,12288307732,9848035,41.87,217.4,108.45,0,indianbank,25.66863905325445,217.40000000000003,522.4201720899421,15856.760738982935,TRUE,INDIAN_BANK
2025,532,898.6,474.05,781.25,14763837,622298,9658769883,6872808,46.55,424.55,249.25,0,indianbank,46.8515037593985,424.55,654.2181333348506,15521.132774008594,TRUE,INDIAN_BANK
2016,116.25,164.3,69.4,115.6,366815630,1912370,40739552125,74539713,20.32,94.9,-0.65,0,punjabnationalbank,-0.559139785,94.9,111.06274867567666,21303.174660238343,FALSE,PUNJAB_NATIONAL_BANK
2017,116.5,231.6,113.3,171.5,307480881,1489868,51161048147,65913265,21.44,118.3,55,0,punjabnationalbank,47.21030042918455,118.3,166.38773760700914,34339.31606491313,TRUE,PUNJAB_NATIONAL_BANK
2018,172.5,197.6,58.65,78.1,622527398,2000659,58509231716,105603392,16.96,138.95,-94.4,0,punjabnationalbank,-54.72463768,138.95,93.98659706219068,29244.97963720954,FALSE,PUNJAB_NATIONAL_BANK
2019,78.45,99.9,55.7,64.35,451538765,1108400,34133573203,77399206,17.14,44.2,-14.1,0,punjabnationalbank,-17.97323136,44.2,75.59389325742607,30795.35655268856,FALSE,PUNJAB_NATIONAL_BANK
2020,64.75,66.95,26.3,33.05,586059252,2566403,20646929864,195809550,33.41,40.65,-31.7,0,punjabnationalbank,-48.95752896,40.650000000000006,35.23010650124503,8045.084838195716,FALSE,PUNJAB_NATIONAL_BANK
2021,33.3,47.6,31.5,37.3,1860017510,3828686,73530918952,525163710,28.23,16.1,4,0,punjabnationalbank,12.012012012012011,16.1,39.53237996775633,19205.26231506057,TRUE,PUNJAB_NATIONAL_BANK
2022,37.3,62.05,28.05,56.45,1196250867,2277351,49813625027,378056933,31.6,34,19.15,0,punjabnationalbank,51.34048257372656,34,41.64145364585972,21873.494699323903,TRUE,PUNJAB_NATIONAL_BANK
2023,56.7,97.7,44.41,95.79,1052173587,2404164,66206107097,295750684,28.11,53.29,39.09,0,punjabnationalbank,68.94179894179895,53.290000000000006,62.923179136029766,27538.099354702925,TRUE,PUNJAB_NATIONAL_BANK
2024,96.1,142.9,92.35,102.75,632462149,3150552,73140875071,223543882,35.35,50.55,6.65,0,punjabnationalbank,6.919875130072847,50.55000000000001,115.6446677269852,23215.25722190905,TRUE,PUNJAB_NATIONAL_BANK
2025,102.55,127.8,85.5,119.75,252696889,1524640,26677084439,125655519,49.73,42.3,17.2,0,punjabnationalbank,16.772306192101418,42.3,105.56950085364922,17497.300634248084,TRUE,PUNJAB_NATIONAL_BANK
2016,225,288.5,148.3,249.75,637503241,4847806,1.37184E+11,184558055,28.95,140.2,24.75,0,sbi,11,140.2,215.1897937613779,28298.20148599181,TRUE,STATE_BANK_OF_INDIA
2017,252.75,351.5,241.1,309.5,400759881,2548461,1.16103E+11,161746015,40.36,110.4,56.75,0,sbi,22.45301681503462,110.4,289.7083280199896,45558.2702901869,TRUE,STATE_BANK_OF_INDIA
2018,310,334.8,232,295.65,405238167,2433975,1.1223E+11,139618973,34.45,102.8,-14.35,0,sbi,-4.629032258,102.8,276.94816805841486,46109.74557174992,FALSE,STATE_BANK_OF_INDIA
2019,297,373.7,244.35,333.7,370460710,2728457,1.12953E+11,108396807,29.26,129.35,36.7,0,sbi,12.356902356902353,129.35,304.8976437609268,41397.97606669264,TRUE,STATE_BANK_OF_INDIA
2020,334.5,339.85,149.55,274.75,788821057,5859618,1.66909E+11,208112237,26.38,190.3,-59.75,0,sbi,-17.86248132,190.3,211.59274638379745,28484.58958519139,FALSE,STATE_BANK_OF_INDIA
2021,275,542.2,269.55,460.45,496863164,5700462,1.96496E+11,154428996,31.08,272.65,185.45,0,sbi,67.43636363636362,272.65000000000003,395.4721304656829,34470.106811868936,TRUE,STATE_BANK_OF_INDIA
2022,461,629.65,425,613.2,185306662,3496001,95101596291,75298562,40.63,204.65,152.2,0,sbi,33.01518438177875,204.65,513.2119658547408,27202.965986279756,TRUE,STATE_BANK_OF_INDIA
2023,615,660.4,499.35,641.95,154572913,3470703,88971437612,64898290,41.99,161.05,26.95,0,sbi,4.382113821138218,161.04999999999995,575.5952701234271,25634.990263355867,TRUE,STATE_BANK_OF_INDIA
2024,642.7,912.1,600.7,795.05,218708021,5209924,1.71719E+11,87457531,39.99,311.4,152.35,0,sbi,23.704683367045263,311.4,785.1535643724745,32960.05512652392,TRUE,STATE_BANK_OF_INDIA
2025,796.85,999.1,679.65,977.7,136254479,3658558,1.13142E+11,66442564,48.76,319.45,180.85,0,sbi,22.695613980046435,319.45000000000005,830.3695358007277,30925.18103526034,TRUE,STATE_BANK_OF_INDIA
